http://www.sjpork.com.tw/images/upload/images/Product/olio/oil%201.jpg,橄欖油,單位：250ml,售價：$600
http://www.sjpork.com.tw/images/upload/images/Product/C34.jpg,芝麻海苔肉鬆禮盒,單位：2罐,售價：$550
http://www.sjpork.com.tw/images/upload/images/Product/porksonggiftbox.JPG,肉鬆組合禮盒,單位：2罐,售價：$550
http://www.sjpork.com.tw/images/upload/images/giftbox/pork shank.jpg,滷蹄膀禮盒,單位：1個,售價：$450
http://www.sjpork.com.tw/images/upload/images/giftbox/wpgift.jpg,酒香豬腳禮盒,單位：1支,售價：$550
http://www.sjpork.com.tw/images/upload/images/giftbox/Red tune.jpg,紅麴香腸禮盒,單位：6包,售價：$1070
http://www.sjpork.com.tw/images/upload/images/giftbox/western.jpg,西式香腸禮盒,單位：6包,售價：$1070
http://www.sjpork.com.tw/images/upload/images/giftbox/alternate.jpg,臘月禮盒,單位：盒,售價：$1220
http://www.sjpork.com.tw/images/upload/images/Product/B20.jpg,帶皮肩胛肉(胛心肉),單位：600g,售價：$220
http://www.sjpork.com.tw/images/upload/images/Product/B05-2.jpg,燉肉塊(生鮮),單位：500g,售價：$250
http://www.sjpork.com.tw/images/upload/images/Product/B15.jpg,滷肉塊(生鮮),單位：500g,售價：$320
http://www.sjpork.com.tw/images/upload/images/Product/B25.jpg,肋骨,單位：300g,售價：$170
http://www.sjpork.com.tw/images/upload/images/Product/B27(1).jpg,軟骨,單位：300g,售價：$200
http://www.sjpork.com.tw/images/upload/images/Product/B19.jpg,生豬皮,單位：500g,售價：$200
http://www.sjpork.com.tw/images/upload/images/Product/B39.JPG,菲力豬排,單位：盒,售價：$420
http://www.sjpork.com.tw/images/upload/images/Product/B40.jpg,豬棒腿,單位：500g,售價：$300
http://www.sjpork.com.tw/images/upload/images/Product/F19(1).jpg,生豬耳,單位：付,售價：$150
http://www.sjpork.com.tw/images/upload/images/Product/F17(1).jpg,生豬舌,單位：付,售價：$150
http://www.sjpork.com.tw/images/upload/images/Product/F13.jpg,生腸,單位：2付,售價：$300
http://www.sjpork.com.tw/images/upload/images/Product/101.jpg,101禮盒,單位：盒,售價：$800
http://www.sjpork.com.tw/images/upload/images/Product/F09(1).jpg,小肚,單位：5個,售價：$150
http://www.sjpork.com.tw/images/upload/images/Product/C25.jpg,肉酥,單位：180g,售價：$250
http://www.sjpork.com.tw/images/upload/images/Product/C33.jpg,Ｑ版純肉鬆(寶寶肉鬆),單位：90g,售價：$150
http://www.sjpork.com.tw/images/upload/images/Product/C34.jpg,Ｑ版芝麻海苔肉鬆,單位：90g,售價：$150
http://www.sjpork.com.tw/images/upload/images/Product/C25.jpg,Ｑ版肉酥,單位：90g,售價：$150
http://www.sjpork.com.tw/images/upload/images/Product/C40%E3%80%8141.jpg,原味肉干,單位：180g,售價：$300
http://www.sjpork.com.tw/images/upload/images/Product/C40%E3%80%8141.jpg,辣味肉干,單位：180g,售價：$300
http://www.sjpork.com.tw/images/upload/images/Product/C42%E3%80%81C43.jpg,肉干禮盒,單位：盒,售價：$450
http://www.sjpork.com.tw/images/upload/images/Product/101c41c42.jpg,101+肉干禮盒,單位：盒,售價：$1200
http://www.sjpork.com.tw/images/upload/images/Product/111.jpg,111禮盒,單位：盒,售價：$700
http://www.sjpork.com.tw/images/upload/images/Product/Qmix.jpg,Ｑ版綜合禮盒,單位：盒,售價：$900
http://www.sjpork.com.tw/images/upload/images/Product/Qchou.jpg,Ｑ版巧禮盒,單位：盒,售價：$500
